@type	@id	name
relation	8443396	McCook
relation	8472905	Fairfield-Vacaville
relation	8472906	Suisun-Fairfield
relation	8472907	Rocklin
relation	8472908	Amtrak Capitol Corridor: Auburn => San José
relation	8472909	Amtrak Capitol Corridor: San José => Auburn
relation	8472910	Auburn-Conheim
relation	8476574	Oakland-Coliseum/Airport
relation	8478333	Hayward
relation	8484043	Palm Springs
relation	8484044	Yuma
relation	8484905	Tucson
relation	8484906	Maricopa
relation	8487762	San Antonio
relation	8489225	Lordsburg
relation	8489741	Deming
relation	8490408	Benson
relation	8491029	El Paso
relation	8496179	Alpine
relation	8496552	Sanderson
relation	8496573	Del Rio
relation	8503076	Ontario
relation	8504313	San Marcos
relation	8504350	Austin
relation	8504418	Taylor
relation	8504528	Temple
relation	8504541	McGregor
relation	8507116	Cleburne
relation	8518398	Longview
relation	8529116	Marshall
relation	8535402	Texarkana
relation	8541675	Hope
relation	8541710	Arkadelphia
relation	8541820	Malvern
relation	8541839	Little Rock
relation	8542907	Poplar Bluff
relation	8543240	Saint Louis
relation	9119008	Redding
relation	9119009	Chico
relation	9119010	Lodi Transportation Center
relation	9119011	Antioch-Pittsburg
relation	9119012	Salinas
relation	9119013	Stockton–San Joaquin Street
relation	9119253	Ventura
relation	9119254	Carpinteria
relation	9119255	Santa Barbara
relation	9119256	Goleta
relation	9119257	Guadalupe
relation	9119258	Grover Beach
relation	9119259	San Luis Obispo
relation	9119260	Bakersfield
relation	9119261	Wasco
relation	9119262	Corcoran
relation	9119263	Hanford
relation	9119264	Fresno
relation	9119265	Madera
relation	9133484	Dunsmuir
relation	9155838	Amtrak Empire Service: Niagara Falls => New York
relation	9155839	Amtrak Empire Service: New York => Niagara Falls
relation	9161443	Amtrak Heartland Flyer: Oklahoma City => Fort Worth
relation	9161444	Amtrak Heartland Flyer: Fort Worth => Oklahoma City
relation	9161614	Amtrak Hiawatha Service: Milwaukee => Chicago
relation	9161615	Amtrak Hiawatha Service
relation	9601559	Amtrak Capitol Corridor: Oakland Coliseum => Sacramento
relation	9601560	Amtrak Capitol Corridor: Sacramento => Oakland Coliseum
relation	9601561	Amtrak Capitol Corridor: Auburn => Oakland Jack London
relation	9601562	Amtrak Capitol Corridor: Sacramento => Oakland Jack London
relation	9601563	Amtrak Capitol Corridor: Oakland Jack London => Auburn
relation	9601564	Amtrak Capitol Corridor: Oakland Jack London => Sacramento
relation	9601565	Amtrak Capitol Corridor: San José => Sacramento
relation	9601566	Amtrak Capitol Corridor: Sacramento => San José
relation	9796293	Amtrak Acela: Washington => Boston
relation	9796352	Amtrak Acela: Boston => Washington
relation	9796393	Amtrak Acela
relation	9925144	Saint Paul Union Depot
relation	10322739	Amtrak Sunset Limited/Texas Eagle
relation	10322740	Amtrak Wolverine
relation	10322741	Amtrak Silver Meteor
relation	10322742	Amtrak Silver Star
relation	10322743	Amtrak Valley Flyer
relation	10322744	Amtrak Vermonter
relation	10322745	Amtrak Pennsylvanian
relation	10322746	Amtrak Pere Marquette
relation	10322747	Amtrak Piedmont
relation	10322748	Amtrak Missouri River Runner
relation	10322749	Amtrak Northeast Regional
relation	10322750	Amtrak Pacific Surfliner
relation	10322751	Amtrak Palmetto
relation	10322752	Amtrak Keystone Service
relation	10322753	Amtrak Lake Shore Limited
relation	10322754	Amtrak Lincoln Service
relation	10322755	Amtrak Empire Builder
relation	10322756	Amtrak Downeaster
relation	10322757	Amtrak Coast Starlight
